State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Gujarat,AHMADABAD,Arhar/Tur,2018-19,Kharif,1218.0,Hectare,1472.0,Tonnes,1.2085385878489328
Gujarat,GANDHINAGAR,Arhar/Tur,2018-19,Kharif,229.99999999999997,Hectare,278.0,Tonnes,1.2086956521739132
Gujarat,AHMADABAD,Bajra,2018-19,Kharif,1154.0,Hectare,1528.0,Tonnes,1.3240901213171576
Gujarat,GANDHINAGAR,Bajra,2018-19,Kharif,2636.0,Hectare,4801.0,Tonnes,1.8213201820940819
Gujarat,GANDHINAGAR,Bajra,2018-19,Summer,5283.0,Hectare,18529.0,Tonnes,3.5072875260268788
Gujarat,JAMNAGAR,Bajra,2018-19,Kharif,168.0,Hectare,235.0,Tonnes,1.3988095238095237
Gujarat,RAJKOT,Bajra,2018-19,Kharif,667.0,Hectare,932.0,Tonnes,1.3973013493253372
Gujarat,RAJKOT,Bajra,2018-19,Summer,229.99999999999997,Hectare,670.0,Tonnes,2.91304347826087
Gujarat,GANDHINAGAR,Gram,2018-19,Rabi,594.0,Hectare,807.0,Tonnes,1.3585858585858586
Gujarat,RAJKOT,Gram,2018-19,Rabi,3188.0,Hectare,3763.0000000000005,Tonnes,1.1803638644918446
Gujarat,SURAT,Gram,2018-19,Rabi,1475.0,Hectare,2003.0,Tonnes,1.3579661016949152
Gujarat,GANDHINAGAR,Maize,2018-19,Kharif,20.0,Hectare,35.0,Tonnes,1.75
Gujarat,JAMNAGAR,Maize,2018-19,Kharif,23.0,Hectare,41.0,Tonnes,1.7826086956521738
Gujarat,RAJKOT,Maize,2018-19,Rabi,30.0,Hectare,77.0,Tonnes,2.566666666666667
Gujarat,RAJKOT,Maize,2018-19,Summer,72.0,Hectare,167.0,Tonnes,2.3194444444444446
Gujarat,SURAT,Maize,2018-19,Rabi,312.0,Hectare,590.0,Tonnes,1.891025641025641
Gujarat,AHMADABAD,Rice,2018-19,Summer,9807.0,Hectare,35305.0,Tonnes,3.5999796064035894
Gujarat,GANDHINAGAR,Rice,2018-19,Kharif,11675.0,Hectare,25055.0,Tonnes,2.1460385438972165
Gujarat,SURAT,Rice,2018-19,Kharif,44471.0,Hectare,108874.0,Tonnes,2.4482021991859866
Gujarat,SURAT,Rice,2018-19,Summer,2277.0,Hectare,7284.999999999999,Tonnes,3.1993851559068944
Gujarat,AHMADABAD,Wheat,2018-19,Rabi,108703.0,Hectare,279010.0,Tonnes,2.5667184898300874
Gujarat,RAJKOT,Wheat,2018-19,Rabi,5244.0,Hectare,20539.0,Tonnes,3.9166666666666665
Gujarat,SURAT,Wheat,2018-19,Rabi,4860.0,Hectare,12207.0,Tonnes,2.5117283950617284
Madhya Pradesh,ASHOKNAGAR,Arhar/Tur,2018-19,Kharif,77.0,Hectare,65.0,Tonnes,0.8441558441558441
Madhya Pradesh,DAMOH,Arhar/Tur,2018-19,Kharif,2759.0,Hectare,2243.0,Tonnes,0.8129757158390721
Madhya Pradesh,KHARGONE,Arhar/Tur,2018-19,Kharif,7347.0,Hectare,5106.0,Tonnes,0.6949775418538179
Madhya Pradesh,VIDISHA,Arhar/Tur,2018-19,Kharif,1244.0,Hectare,878.0,Tonnes,0.7057877813504824
Madhya Pradesh,ASHOKNAGAR,Bajra,2018-19,Kharif,6.0,Hectare,13.0,Tonnes,2.1666666666666665
Madhya Pradesh,BETUL,Bajra,2018-19,Kharif,36.0,Hectare,106.0,Tonnes,2.9444444444444446
Madhya Pradesh,KHARGONE,Bajra,2018-19,Kharif,99.0,Hectare,68.0,Tonnes,0.6868686868686869
Madhya Pradesh,VIDISHA,Bajra,2018-19,Kharif,18.0,Hectare,49.0,Tonnes,2.7222222222222223
Madhya Pradesh,ASHOKNAGAR,Gram,2018-19,Rabi,100024.0,Hectare,150336.0,Tonnes,1.5029992801727585
Madhya Pradesh,BETUL,Gram,2018-19,Rabi,56716.0,Hectare,95113.0,Tonnes,1.6770047252979758
Madhya Pradesh,DAMOH,Gram,2018-19,Rabi,152425.0,Hectare,221931.0,Tonnes,1.4560013121207152
Madhya Pradesh,JABALPUR,Gram,2018-19,Rabi,32568.0,Hectare,60967.0,Tonnes,1.871990911323999
Madhya Pradesh,KHARGONE,Gram,2018-19,Rabi,83183.0,Hectare,94662.0,Tonnes,1.1379969464914705
Madhya Pradesh,VIDISHA,Gram,2018-19,Rabi,202075.0,Hectare,260071.0,Tonnes,1.2870023506123964
Madhya Pradesh,ASHOKNAGAR,Maize,2018-19,Kharif,2290.0,Hectare,6053.0,Tonnes,2.643231441048035
Madhya Pradesh,BETUL,Maize,2018-19,Kharif,152306.0,Hectare,357306.0,Tonnes,2.3459745512323873
Madhya Pradesh,JABALPUR,Maize,2018-19,Kharif,4801.0,Hectare,9941.0,Tonnes,2.070610289523016
Madhya Pradesh,KHARGONE,Maize,2018-19,Kharif,75514.0,Hectare,230174.0,Tonnes,3.0480970416081785
Madhya Pradesh,VIDISHA,Maize,2018-19,Kharif,1608.0,Hectare,2346.0,Tonnes,1.458955223880597
Madhya Pradesh,BETUL,Rice,2018-19,Kharif,28209.0,Hectare,42102.0,Tonnes,1.4925023928533447
Madhya Pradesh,DAMOH,Rice,2018-19,Kharif,76526.0,Hectare,81774.0,Tonnes,1.0685779996341114
Madhya Pradesh,KHARGONE,Rice,2018-19,Kharif,215.0,Hectare,230.0,Tonnes,1.069767441860465
Madhya Pradesh,VIDISHA,Rice,2018-19,Kharif,19950.0,Hectare,15385.33,Tonnes,0.7711944862155389
Madhya Pradesh,ASHOKNAGAR,Wheat,2018-19,Rabi,173890.0,Hectare,583633.0,Tonnes,3.356334464316522
Madhya Pradesh,BETUL,Wheat,2018-19,Rabi,144914.0,Hectare,471037.0,Tonnes,3.250458892860593
Madhya Pradesh,JABALPUR,Wheat,2018-19,Rabi,193246.0,Hectare,766680.0,Tonnes,3.967378367469443
Madhya Pradesh,KHARGONE,Wheat,2018-19,Rabi,222195.0,Hectare,863787.0,Tonnes,3.8875177209208127
Madhya Pradesh,VIDISHA,Wheat,2018-19,Rabi,280644.0,Hectare,732061.0,Tonnes,2.6085040122005103
Punjab,LUDHIANA,Arhar/Tur,2018-19,Kharif,600.0,Hectare,600.0,Tonnes,1.0
Punjab,FAZILKA,Bajra,2018-19,Kharif,100.0,Hectare,100.0,Tonnes,1.0
Punjab,FAZILKA,Gram,2018-19,Rabi,1100.0,Hectare,1500.0,Tonnes,1.3636363636363635
Punjab,PATHANKOT,Gram,2018-19,Rabi,100.0,Hectare,100.0,Tonnes,1.0
Punjab,LUDHIANA,Maize,2018-19,Kharif,1300.0,Hectare,5100.0,Tonnes,3.923076923076923
Punjab,PATHANKOT,Maize,2018-19,Kharif,8100.0,Hectare,16500.0,Tonnes,2.037037037037037
Punjab,PATIALA,Maize,2018-19,Kharif,800.0,Hectare,2000.0,Tonnes,2.5
Punjab,FAZILKA,Rice,2018-19,Kharif,114000.0,Hectare,376000.0,Tonnes,3.2982456140350878
